Unnamed: 0,Id,Tweet Time,Url,Tweet Text,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,Follower Count,Following Count,tweet_clean
443,1553348525311680512,2022-07-30 11:55:22+00:00,https://twitter.com/ruhutsitompul/status/1553348525311680512,@mekarsatria11 Ha ha ha seragam Aku ya merah Sip deh Shalom.,0,0,0,,,,,,,ha ha ha seragam ya merah sip deh shalom
444,1553348080829087745,2022-07-30 11:53:36+00:00,https://twitter.com/ruhutsitompul/status/1553348080829087745,"@mpujayaprema katanya Jokja asli ya pakai Bahasa Jawa dong, sudalah nggak usah ngeles, apa lagi dikaitkan dgn agama tertentu nggak ada malunya ha ha ha makin ngaco ngebelanya kebabalasan Shalom.",1,2,0,,,,,,,jokja asli ya pakai bahasa jawa suda nggak ngeles kait dgn agama nggak malu ha ha ha ngaco ngebelanya kebabalasan shalom
445,1553344492300021760,2022-07-30 11:39:21+00:00,https://twitter.com/ruhutsitompul/status/1553344492300021760,"@Oceph23122010 @Neng_Anyar @aniesbaswedan Aku Indonesia Asli nggak pernah cari makan ditempat leluhur kau, Indonesia is the best MERDEKA🤟👍🙏🇮🇩.",1,4,0,,259596118.0,Oceph23122010,kalo dah capek kerja bilang ya,1051.0,2441.0,indonesia asli nggak cari makan leluhur kau indonesia is the best merdeka
446,1553342408594960385,2022-07-30 11:31:04+00:00,https://twitter.com/ruhutsitompul/status/1553342408594960385,"@Oceph23122010 @Neng_Anyar @aniesbaswedan Kau boleh menghina, eh dibalas langsung sewot 👺kadrun sich Shalom.",0,1,0,,259596118.0,Oceph23122010,kalo dah capek kerja bilang ya,1051.0,2441.0,kau hina eh balas langsung sewot kadrun sich shalom
447,1553341278162927617,2022-07-30 11:26:35+00:00,https://twitter.com/ruhutsitompul/status/1553341278162927617,"@Nur_ichwan_Pctn eh followersnya masih seupil, ketahuan mutunya sudah 7 thn ngetwit 👺kadrun goblok Sich ha ha ha ngetwit hanya utk Ngebacot Shalom.",0,0,0,,,,,,,eh followersnya upil mutu 7 thn ngetwit kadrun goblok sich ha ha ha ngetwit utk ngebacot shalom
448,1553339804951400448,2022-07-30 11:20:43+00:00,https://twitter.com/ruhutsitompul/status/1553339804951400448,@Nur_ichwan_Pctn tapi Kaya Raya Shalom.,0,0,0,,,,,,,kaya raya shalom
449,1553339132679979008,2022-07-30 11:18:03+00:00,https://twitter.com/ruhutsitompul/status/1553339132679979008,"@Oceph23122010 @Neng_Anyar @aniesbaswedan Aku lawyer yg diminta bukan yg minta2 kasus, hanya orang pintar yg ta’u ha ha ha orang goblok yg nggak ta’u Shalom.",1,9,0,,259596118.0,Oceph23122010,kalo dah capek kerja bilang ya,1051.0,2441.0,lawyer yg yg minta2 orang pintar yg ta u ha ha ha orang goblok yg nggak ta u shalom
450,1553333574988091393,2022-07-30 10:55:58+00:00,https://twitter.com/ruhutsitompul/status/1553333574988091393,"@RAFIDA750 Ha ha ha komisaris ka’cian deh, asetku jauh lebih banyak dari satu BUMN kok masih ngincer komisaris tolol kali kau Shalom.",0,0,0,,,,,,,ha ha ha komisaris ka cian deh aset bumn ngincer komisaris tolol kali kau shalom
451,1553332866242658304,2022-07-30 10:53:09+00:00,https://twitter.com/ruhutsitompul/status/1553332866242658304,@RAFIDA750 Ha ha ha marah nie ye goblok Sich Shalom.,0,0,0,,,,,,,ha ha ha marah nie ye goblok sich shalom
452,1553328821138763777,2022-07-30 10:37:05+00:00,https://twitter.com/ruhutsitompul/status/1553328821138763777,@aa_rahman21 Haleluya Puji Tuhan Yesus Shalom.,13,154,0,,292390605.0,aa_rahman21,"Pondokgede, Indonesia",725.0,851.0,haleluya puji tuhan yesus shalom
